tenting,(Multiple Items),,group,(Multiple Items),,remote,(Multiple Items),,structured_RV,(Multiple Items),,type of camping,median day 
2.768253968,,,,,,,,,,,,,
2.769230769,,,,,,,,,,,,,
2.770833333,,,,,,,,,,,,,
2.773139746,,,,,,,,,,,,,
2.777777778,,,,,,,,,,,,,
2.77820122,,,,,,,,,,,,,
2.780487805,,,,,,,,,,,,,
2.781163435,,,,,,,,,,,,,
2.782352941,,,,,,,,,,,,,
2.785234899,,,,,,,,,,,,,
2.788135593,,,,,,,,,,,,,
2.789808917,,,,,,,,,,,,,
2.791044776,,,,,,,,,,,,,
2.794871795,,,,,,,,,,,,,
2.799856012,,,,,,,,,,,,,
2.8,,,,,,,,,,,,,
2.805301645,,,,,,,,,,,,,
2.805825243,,,,,,,,,,,,,
2.806976744,,,,,,,,,,,,,
2.809861002,,,,,,,,,,,,,
2.810810811,,,,,,,,,,,,,
2.811127379,,,,,,,,,,,,,
2.811748999,,,,,,,,,,,,,
2.812227074,,,,,,,,,,,,,
2.819742489,,,,,,,,,,,,,
2.820224719,,,,,,,,,,,,,
2.821052632,,,,,,,,,,,,,
2.824650572,,,,,,,,,,,,,
2.834254144,,,,,,,,,,,,,
2.837037037,,,,,,,,,,,,,
2.838624339,,,,,,,,,,,,,
2.839805825,,,,,,,,,,,,,
2.842300557,,,,,,,,,,,,,
2.847124825,,,,,,,,,,,,,
2.849056604,,,,,,,,,,,,,
2.85,,,,,,,,,,,,,
2.852652259,,,,,,,,,,,,,
2.857142857,,,,,,,,,,,,,
2.857394366,,,,,,,,,,,,,
2.861093652,,,,,,,,,,,,,
2.861845656,,,,,,,,,,,,,
2.865116279,,,,,,,,,,,,,
2.870588235,,,,,,,,,,,,,
2.88372093,,,,,,,,,,,,,
2.884897959,,,,,,,,,,,,,
2.885819521,,,,,,,,,,,,,
2.886120996,,,,,,,,,,,,,
2.888888889,,,,,,,,,,,,,
2.892815077,,,,,,,,,,,,,
2.901185771,,,,,,,,,,,,,
2.90599455,,,,,,,,,,,,,
2.907894737,,,,,,,,,,,,,
2.911556604,,,,,,,,,,,,,
2.913385827,,,,,,,,,,,,,
2.917112299,,,,,,,,,,,,,
2.922330097,,,,,,,,,,,,,
2.929842574,,,,,,,,,,,,,
2.934893184,,,,,,,,,,,,,
2.935840708,,,,,,,,,,,,,
2.93639576,,,,,,,,,,,,,
2.936758893,,,,,,,,,,,,,
2.938461538,,,,,,,,,,,,,
2.940898345,,,,,,,,,,,,,
2.941891892,,,,,,,,,,,,,
2.944979367,,,,,,,,,,,,,
2.947183099,,,,,,,,,,,,,
2.949685535,,,,,,,,,,,,,
2.96,,,,,,,,,,,,,
2.963414634,,,,,,,,,,,,,
2.969383991,,,,,,,,,,,,,
2.973720609,,,,,,,,,,,,,
2.974710983,,,,,,,,,,,,,
2.979381443,,,,,,,,,,,,,
2.986013986,,,,,,,,,,,,,
2.993006993,,,,,,,,,,,,,
2.996389892,,,,,,,,,,,,,
2.997493734,,,,,,,,,,,,,
3,,,,,,,,,,,,,
3.00390117,,,,,,,,,,,,,
3.006976744,,,,,,,,,,,,,
3.007633588,,,,,,,,,,,,,
3.008163265,,,,,,,,,,,,,
3.009505703,,,,,,,,,,,,,
3.030470914,,,,,,,,,,,,,
3.033138402,,,,,,,,,,,,,
3.04130809,,,,,,,,,,,,,
3.043478261,,,,,,,,,,,,,
3.057692308,,,,,,,,,,,,,
3.060465116,,,,,,,,,,,,,
3.06116208,,,,,,,,,,,,,
3.066666667,,,,,,,,,,,,,
3.068181818,,,,,,,,,,,,,
3.071914894,,,,,,,,,,,,,
3.078028747,,,,,,,,,,,,,
3.09102091,,,,,,,,,,,,,
3.111111111,,,,,,,,,,,,,
3.114474929,,,,,,,,,,,,,
3.115919629,,,,,,,,,,,,,
3.123404255,,,,,,,,,,,,,
3.134730539,,,,,,,,,,,,,
3.135830325,,,,,,,,,,,,,
3.141608392,,,,,,,,,,,,,
3.1456,,,,,,,,,,,,,
3.147959184,,,,,,,,,,,,,
3.150627615,,,,,,,,,,,,,
3.153846154,,,,,,,,,,,,,
3.1563147,,,,,,,,,,,,,
3.158653846,,,,,,,,,,,,,
3.178082192,,,,,,,,,,,,,
3.181754386,,,,,,,,,,,,,
3.186335404,,,,,,,,,,,,,
3.188162544,,,,,,,,,,,,,
3.210743802,,,,,,,,,,,,,
3.211442786,,,,,,,,,,,,,
3.223529412,,,,,,,,,,,,,
3.224489796,,,,,,,,,,,,,
3.231927711,,,,,,,,,,,,,
3.233628319,,,,,,,,,,,,,
3.237785016,,,,,,,,,,,,,
3.243455497,,,,,,,,,,,,,
3.254605967,,,,,,,,,,,,,
3.275,,,,,,,,,,,,,
3.279904306,,,,,,,,,,,,,
3.285129604,,,,,,,,,,,,,
3.286681716,,,,,,,,,,,,,
3.287822878,,,,,,,,,,,,,
3.299758259,,,,,,,,,,,,,
3.3,,,,,,,,,,,,,
3.302277433,,,,,,,,,,,,,
3.308290155,,,,,,,,,,,,,
3.325382263,,,,,,,,,,,,,
3.342857143,,,,,,,,,,,,,
3.347133758,,,,,,,,,,,,,
3.381086142,,,,,,,,,,,,,
3.386554622,,,,,,,,,,,,,
3.416216216,,,,,,,,,,,,,
3.44,,,,,,,,,,,,,
3.4625,,,,,,,,,,,,,
3.471287129,,,,,,,,,,,,,
3.480662983,,,,,,,,,,,,,
3.488245931,,,,,,,,,,,,,
3.5,,,,,,,,,,,,,
3.504524887,,,,,,,,,,,,,
3.532920653,,,,,,,,,,,,,
3.542857143,,,,,,,,,,,,,
3.543993232,,,,,,,,,,,,,
3.546341463,,,,,,,,,,,,,
3.558441558,,,,,,,,,,,,,
3.562785388,,,,,,,,,,,,,
3.590909091,,,,,,,,,,,,,
3.602579132,,,,,,,,,,,,,
3.614561028,,,,,,,,,,,,,
3.633136095,,,,,,,,,,,,,
3.638132296,,,,,,,,,,,,,
3.648854962,,,,,,,,,,,,,
3.680952381,,,,,,,,,,,,,
3.706823028,,,,,,,,,,,,,
3.929487179,,,,,,,,,,,,,
3.9375,,,,,,,,,,,,,
3.948717949,,,,,,,,,,,,,
3.981409002,,,,,,,,,,,,,
4.055201699,,,,,,,,,,,,,
4.076802508,,,,,,,,,,,,,
4.10619469,,,,,,,,,,,,,
4.161490683,,,,,,,,,,,,,
4.168546366,,,,,,,,,,,,,
4.220930233,,,,,,,,,,,,,
4.243119266,,,,,,,,,,,,,
4.249877511,,,,,,,,,,,,,
4.291666667,,,,,,,,,,,,,
4.61682243,,,,,,,,,,,,,
4.61928934,,,,,,,,,,,,,
4.64200299,,,,,,,,,,,,,
4.652830189,,,,,,,,,,,,,
4.73540146,,,,,,,,,,,,,
5.00245098,,,,,,,,,,,,,
5.091617934,,,,,,,,,,,,,
6.5,,,,,,,,,,,,,
8,,,,,,,,,,,,,
(blank),,,,,,,,,,,,,
Grand Total,,,,,,,,,,,,,
