facilityid,median_orderdate_to_startdate,average_orderdate_to_startdate,min_orderdate_to_startdate,max_orderdate_to_startdate,average_nights,median_nights
232889.0,40.0,62.59704049844237,2,296,2.3322429906542057,2.0
232890.0,44.0,70.16183844011142,2,287,2.6362116991643454,2.0
232891.0,44.0,66.55337361530715,2,186,2.4808660624370593,2.0
232892.0,31.0,52.251474926253685,3,257,2.3783185840707963,2.0
232893.0,21.0,31.5462915601023,2,181,2.229667519181586,2.0
232894.0,29.0,57.71275927089881,3,366,2.5216844751728473,2.0
232895.0,32.0,59.30254588513913,3,283,2.541148608644168,2.0
232896.0,122.0,122.63541666666667,0,305,2.6458333333333335,3.0
232897.0,174.0,163.1095890410959,11,313,2.8767123287671232,3.0
232898.0,129.5,131.87777777777777,3,305,2.433333333333333,2.5
232900.0,128.5,140.52564102564102,2,375,2.7948717948717947,3.0
232901.0,19.0,35.82632541133455,3,366,2.9977148080438756,3.0
232902.0,58.0,82.0699599233316,3,371,4.16048092002091,3.0
232906.0,68.0,82.8875177978168,0,206,2.968201233981965,2.0
232907.0,14.0,20.428571428571427,3,176,2.324884792626728,2.0
232908.0,19.0,36.05083694978301,3,257,2.4705517668939865,2.0
232909.0,128.0,125.15,37,268,2.825,3.0
232910.0,111.0,133.00697674418603,0,408,2.73953488372093,2.0
232911.0,41.0,65.87348165965123,0,211,2.73325315694528,2.0
232912.0,38.0,58.58294717330862,0,227,2.8103181958603645,2.0
232913.0,50.0,77.5502784146741,3,187,3.3039633147723553,3.0
232914.0,103.0,102.03942348452735,1,366,3.4718100890207717,3.0
232915.0,17.0,24.101257445400396,3,186,2.6492389146260753,2.0
232916.0,125.0,144.16,4,368,3.25,3.0
233096.0,84.0,94.52459016393442,4,248,3.098360655737705,3.0
233097.0,93.0,117.40697674418605,5,361,3.302325581395349,3.0
233101.0,166.0,179.33766233766235,5,373,3.6233766233766236,3.0
233102.0,116.0,103.5827168796234,3,194,4.700067249495628,4.0
233103.0,36.0,57.09189189189189,3,184,2.222893481717011,2.0
233104.0,181.0,146.5842105263158,3,336,2.268421052631579,2.0
233110.0,12.0,26.70489604292421,0,183,2.3340040241448694,2.0
233111.0,17.0,31.100642398286936,0,183,2.498929336188437,2.0
233112.0,16.0,35.010423748017224,0,189,2.3195105370496263,2.0
233113.0,172.0,187.11111111111111,6,372,4.133333333333334,3.0
233114.0,163.0,160.3653846153846,4,366,2.576923076923077,2.0
233115.0,51.0,74.31987871896911,1,456,2.7970437748720864,2.0
233116.0,133.0,108.31512114764226,2,555,2.0796897522136044,2.0
233117.0,26.0,41.50085324232082,2,184,2.1427758816837317,2.0
233118.0,29.0,43.77326203208556,3,184,2.046524064171123,2.0
233130.0,20.0,31.775086505190313,2,199,2.6072664359861593,3.0
233133.0,181.0,145.47906976744187,1,365,2.0046511627906978,2.0
233136.0,30.0,52.42284160435078,1,366,2.17675050985724,2.0
233142.0,16.0,29.731884057971016,3,184,2.031055900621118,1.0
233143.0,132.5,112.27604166666667,3,186,2.5104166666666665,2.0
233153.0,185.0,193.04347826086956,0,370,3.536231884057971,3.0
233154.0,198.0,191.19642857142858,0,376,3.142857142857143,2.0
233161.0,128.0,133.70093457943926,2,315,2.6728971962616823,3.0
233162.0,29.0,52.38823529411765,0,217,2.3058823529411763,2.0
233180.0,19.0,26.475138121546962,1,181,2.5831240582621797,2.0
233182.0,27.5,43.85254413291796,2,315,2.1137071651090342,2.0
233183.0,141.0,130.25465838509317,3,229,2.701863354037267,3.0
233186.0,15.0,32.66376811594203,1,248,2.5891304347826085,2.0
233192.0,39.0,69.02790625963614,2,228,2.864631514030219,3.0
233193.0,42.0,72.06241542625169,1,371,3.3805818673883627,3.0
233194.0,40.0,71.30630630630631,2,191,3.5837837837837836,3.0
233195.0,49.0,73.72001293242806,1,238,3.318461041060459,3.0
233196.0,29.0,49.2861484325016,2,200,2.575335892514395,2.0
233197.0,62.0,83.42191544434857,1,215,2.870146678170837,3.0
233198.0,61.0,83.36862592448423,1,241,2.367068898404048,2.0
233209.0,134.0,128.50526315789475,0,299,2.8210526315789473,3.0
233215.0,53.0,78.6328125,0,347,2.74560546875,2.0
233217.0,36.0,60.702445652173914,1,358,2.4198369565217392,2.0
233218.0,60.0,79.71945701357465,3,183,3.1176470588235294,3.0
