facilityid,#tenting,#group,#remote,#structured_RV,tenting,group,remote,structured_RV,totalbeforetax,numberofpeople,reservation_days,days_stay,FacilityName,FacilityLongitude,FacilityLatitude,tenting_demand,group_demand,remote_demand,structured_RV_demand,Year
232302,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,96.5,15.0,70.5,2.5,RED FIR,-120.3125,39.002221999999996,,6.0,,,2016
232304,0.0,3.0,0.0,0.0,0.0,46.0,0.0,0.0,221.5,25.5,114.5,3.0,NEWBERRY GROUP CAMP SITE,-121.25694399999999,43.706111,,15.333333333333334,,,2016
232305,30.0,0.0,0.0,0.0,1015.0,0.0,0.0,0.0,43.5,4.0,86.0,2.0,BIG PINE CREEK CAMPGROUND,-118.4325,37.125833,33.833333333333336,,,,2016
232315,25.0,0.0,0.0,0.0,183.0,0.0,0.0,0.0,0.0,4.0,115.0,2.0,Troublesome Creek Campground,-121.4025,47.897778,7.32,,,,2016
232316,12.0,0.0,0.0,0.0,260.0,0.0,0.0,0.0,25.0,3.0,14.0,2.0,PATRICK CREEK CAMPGROUND,-123.846667,41.871944,21.666666666666668,,,,2016
232321,43.0,0.0,0.0,1.0,339.0,0.0,0.0,0.0,57.0,4.0,14.0,2.0,WHITE CLOUD,-120.84527800000001,39.320555999999996,7.883720930232558,,,0.0,2016
232322,38.0,0.0,0.0,1.0,1040.0,0.0,0.0,0.0,34.0,3.0,29.0,2.0,PANTHER FLAT CAMPGROUND,-123.93055600000001,41.843056,27.36842105263158,,,0.0,2016
232342,0.0,1.0,0.0,0.0,0.0,26.0,0.0,0.0,209.0,50.0,114.0,2.0,HOLIDAY GROUP CAMPGROUND,-119.276944,34.517222,,26.0,,,2016
232343,17.0,2.0,0.0,1.0,0.0,49.0,0.0,0.0,169.0,45.0,126.0,2.0,LAKE ALPINE - LODGEPOLE GROUP,-120.105,38.416389,0.0,24.5,,0.0,2016
232348,0.0,0.0,0.0,1.0,0.0,0.0,0.0,56.0,209.0,13.0,162.5,2.0,LOON LAKE CHALET,-120.32,38.98,,,,56.0,2016
232349,0.0,0.0,0.0,1.0,0.0,0.0,0.0,44.0,139.0,5.0,108.5,2.0,ROBBS HUT,-120.40416699999999,38.923611,,,,44.0,2016
232351,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,209.0,20.0,36.0,2.0,GREEN SPOT EQUESTRIAN GROUP CAMP,-116.80611100000002,34.223333000000004,,17.0,,,2016
